Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95317455,92.3,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95317456,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95317457,22,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95317458,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317459,22,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317460,160,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin External Panel Member payments,Non Employee Expenses Supplier,95317461,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,OSG Operational Projects,Non Employee Expenses Supplier,95317462,63.7,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Global Grand Challenge Fund,Non Employee Expenses Supplier,95317463,160,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Global Grand Challenge Fund,Non Employee Expenses Supplier,95317464,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,RCUK Executive Director,Non Employee Expenses Supplier,95317735,969.1,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317736,132.3,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95317737,78,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Strategy,Non Employee Expenses Supplier,95317738,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317739,107.9,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95317740,72,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery Engineering,Non Employee Expenses Supplier,95317741,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317742,34.99,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317743,94.4,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95317744,41.2,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95317745,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317746,49.95,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317747,98.74,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317748,39.4,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317749,320,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317750,12.3,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317751,320,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317752,93,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317753,320,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317755,239.41,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95317756,493.84,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Chief Executive,Non Employee Expenses Supplier,95317757,219.26,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95317758,86.4,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317759,163.3,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317760,116,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317761,150.23,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317762,229.15,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317763,196.45,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95317764,219.38,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Strategy,Non Employee Expenses Supplier,95317765,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317766,45.24,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317767,121.4,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Maths,Non Employee Expenses Supplier,95317768,140,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery Maths,Non Employee Expenses Supplier,95317769,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Maths,Non Employee Expenses Supplier,95317770,62.8,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery Maths,Non Employee Expenses Supplier,95317771,240,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317772,195.5,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Maths,Non Employee Expenses Supplier,95317773,55,GBP
