Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,08/06/2016,T&S UK - Mileage,Programme Delivery Physical Sciences,Unspecified,94712232,34.2,GBP
BIS,EPSRC,08/06/2016,T&S UK - Other Charges,Programme Delivery Physical Sciences,Unspecified,94712232,5,GBP
BIS,EPSRC,08/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94712232,9.8,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94712232,14.5,GBP
BIS,EPSRC,08/06/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,94712233,6.9,GBP
BIS,EPSRC,08/06/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,94712233,11,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94712233,4.7,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94712233,5,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94712233,14.13,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94712233,19.65,GBP
BIS,EPSRC,08/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94712234,2.8,GBP
BIS,EPSRC,08/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94712234,8.7,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94712234,5,GBP
BIS,EPSRC,08/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94712234,6.24,GBP
BIS,EPSRC,08/06/2016,UK - Professional Memberships & Subscriptions,Communications and Stakeholder Engagement,Dods Parliamentary Communications Ltd,94713351,4740,GBP
BIS,EPSRC,08/06/2016,Marketing & PR,Communications and Stakeholder Engagement,Precise Media Monitoring Limited,94713354,638.7,GBP
BIS,EPSRC,08/06/2016,Printing & Stationery,JRS,Belmont Press,94736363,1062,GBP
BIS,EPSRC,08/06/2016,Printing & Stationery,JRS,Belmont Press,94736363,1062,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,Ricoh Uk Ltd,94529080,41.16,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,Ricoh Uk Ltd,94529080,164.51,GBP
BIS,EPSRC,09/06/2016,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,94562864,90,GBP
BIS,EPSRC,09/06/2016,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,94572354,144,GBP
BIS,EPSRC,09/06/2016,Printing & Stationery,JRS,PG Events Ltd,94712156,8148,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,PG Events Ltd,94722353,456,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,PG Events Ltd,94722353,1620,GBP
BIS,EPSRC,09/06/2016,Printing & Stationery,JRS,PG Events Ltd,94723358,2856,GBP
