Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264513,40.2,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264514,78.5,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264515,254.7,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264516,121.8,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264517,80,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264518,56.5,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264519,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264520,22.5,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264521,240,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264522,107.24,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264523,71.83,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Engineering,Non Employee Expenses Supplier,95264524,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264525,549.72,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Engineering,Non Employee Expenses Supplier,95264526,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264527,178.99,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264528,141.2,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,RCUK-Newton Activity,Non Employee Expenses Supplier,95264529,1.3,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),RCUK-Newton Activity,Non Employee Expenses Supplier,95264530,80,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,RCUK-Newton Activity,Non Employee Expenses Supplier,95264531,6.78,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),RCUK-Newton Activity,Non Employee Expenses Supplier,95264532,80,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264533,260.31,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264534,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264535,108.65,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264536,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264537,13.3,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264538,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264539,126.3,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264540,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264541,206.8,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264542,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264543,93.6,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264544,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264545,56.5,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264546,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264547,125.15,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95264548,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264549,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264550,100.8,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264551,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264552,95.25,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264553,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264554,56.5,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264555,61.98,GBP
BIS,EPSRC,03/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264556,160,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264557,240,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264558,37,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264560,63,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264561,129.3,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264562,48.1,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264563,124.6,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95264564,36.3,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264565,248.3,GBP
BIS,EPSRC,03/08/2016,Other Pension Deductions,Balance Sheet,Scottish Widows,95264622,197.57,GBP
BIS,EPSRC,03/08/2016,Partnership Pension Deductions,Balance Sheet,Scottish Widows,95264623,1328.92,GBP
BIS,EPSRC,03/08/2016,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,95264624,1161.66,GBP
BIS,EPSRC,03/08/2016,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,95264625,5,GBP
BIS,EPSRC,03/08/2016,Union Deductions,Balance Sheet,PCS Union,95264626,273.45,GBP
BIS,EPSRC,03/08/2016,Union Deductions,Balance Sheet,Prospect Union,95264627,35.26,GBP
BIS,EPSRC,03/08/2016,Partnership Pension Deductions,Balance Sheet,Standard Life Assurance Ltd,95264631,285.27,GBP
BIS,EPSRC,03/08/2016,Partnership Pension Deductions,Balance Sheet,Prudential Plc,95264632,419.13,GBP
BIS,EPSRC,03/08/2016,Reward & Recognition Team Advances,Balance Sheet,P&MM Limited,95264633,47.6,GBP
BIS,EPSRC,03/08/2016,Meetings & Catering,Admin RCUK Strategy Unit,Baxter Storey Ltd,95264704,354.97,GBP
BIS,EPSRC,03/08/2016,Meetings & Catering,EPSRC Corporate Services,Baxter Storey Ltd,95264704,908.34,GBP
BIS,EPSRC,03/08/2016,Other Staff Benefits,EPSRC Corporate Services,Fruitdrop Ltd,95264707,240,GBP
BIS,EPSRC,03/08/2016,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Swindon Occupational Medical Services Ltd,95264744,1320,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Chief Executive,V Cars Ltd,95265557,55.8,GBP
BIS,EPSRC,03/08/2016,T&S UK - Public Transport,Admin Business Innovation Director,V Cars Ltd,95265557,18,GBP
BIS,EPSRC,03/08/2016,T&S UK - Public Transport,Chief Executive,V Cars Ltd,95265557,32.04,GBP
BIS,EPSRC,03/08/2016,T&S UK - Public Transport,Strategy,V Cars Ltd,95265557,222.48,GBP
BIS,EPSRC,03/08/2016,Hardware/Software Maintenance,JRS,Kennedy Grinding Ltd,95265649,61.2,GBP
BIS,EPSRC,03/08/2016,Printing & Stationery,JRS,Acorn Press Swindon Ltd,95265652,2317,GBP
BIS,EPSRC,03/08/2016,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,95265728,5,GBP
BIS,EPSRC,03/08/2016,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,95265728,7.19,GBP
BIS,EPSRC,03/08/2016,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,95265728,10,GBP
BIS,EPSRC,03/08/2016,Health & Safety (inc. Medicals & Opticians),Programme Delivery Engineering,Unspecified,95265729,25,GBP
